27, 125 pa2-debug-f-our-output2.txt
  102.56,   476.54,   599.79
   99.93,   598.34,   348.19
  101.10,   599.90,   473.23
  102.82,   601.66,   598.41
  224.84,   348.45,   349.85
  226.21,   349.95,   475.05
  227.55,   351.29,   600.00
  224.59,   473.62,   348.31
  226.21,   475.12,   473.32
  227.49,   476.41,   598.51
  224.83,   598.28,   346.98
  226.15,   600.15,   471.92
  227.68,   601.48,   596.95
  349.65,   348.38,   348.54
  351.10,   350.16,   473.62
  352.48,   351.43,   598.44
  349.77,   473.59,   346.83
  351.14,   475.10,   471.98
  352.80,   476.48,   596.85
  349.81,   598.33,   345.62
  351.13,   599.88,   470.35
  352.76,   601.40,   595.36
  101.41,   350.05,   476.25
  105.18,   349.67,   601.10
  108.41,   349.38,   725.90
   98.94,   475.10,   476.37
  102.44,   474.70,   601.53
  106.09,   474.53,   726.30
   96.78,   599.76,   476.86
  100.00,   599.40,   602.02
  103.63,   599.13,   726.63
  226.49,   352.20,   472.67
  229.90,   352.13,   597.66
  233.44,   351.97,   722.41
  223.94,   477.21,   473.01
  227.69,   476.99,   597.93
  230.90,   476.73,   722.94
  221.56,   602.57,   473.20
  225.00,   602.07,   598.14
  228.51,   601.87,   723.38
  351.44,   354.95,   469.16
  355.06,   354.64,   594.01
  358.52,   354.40,   719.05
  348.92,   479.86,   469.42
  352.36,   479.45,   594.36
  356.12,   479.46,   719.20
  346.57,   604.82,   469.62
  349.95,   604.69,   594.92
  353.52,   604.49,   719.68
  101.73,   349.07,   598.66
  101.98,   347.08,   723.42
  102.09,   344.97,   848.28
  104.24,   474.15,   600.57
  104.43,   472.08,   725.16
  104.72,   470.10,   850.43
  106.75,   598.75,   602.54
  106.99,   596.65,   727.60
  107.37,   594.92,   852.39
  226.42,   346.58,   598.33
  226.93,   344.47,   723.20
  227.16,   342.47,   848.03
  229.29,   471.29,   600.31
  229.39,   469.56,   725.08
  229.66,   467.44,   850.20
  231.48,   596.39,   602.34
  232.14,   594.19,   727.05
  232.21,   592.25,   852.04
  351.35,   344.11,   597.68
  351.80,   341.90,   723.00
  352.02,   339.94,   847.98
  354.16,   468.84,   599.76
  354.47,   467.01,   725.05
  354.52,   464.76,   849.76
  356.51,   593.98,   601.69
  356.83,   591.79,   726.96
  357.31,   589.71,   851.89
   98.85,   476.48,   100.89
   99.82,   475.72,   225.95
  100.77,   475.46,   351.06
   95.50,   601.32,   101.40
   96.68,   601.00,   226.08
   97.47,   600.44,   351.51
   92.02,   726.39,   101.90
   92.99,   725.80,   227.02
   93.73,   725.05,   351.88
  223.88,   480.13,    99.80
  224.94,   479.57,   224.72
  225.91,   478.97,   349.84
  220.33,   604.92,   100.57
  221.48,   604.47,   225.39
  222.23,   603.94,   350.50
  216.92,   730.01,   101.07
  218.09,   729.23,   225.96
  218.76,   728.75,   351.19
  348.77,   483.43,    99.02
  350.00,   482.89,   224.06
  350.81,   482.15,   348.81
  345.26,   608.38,    99.25
  346.16,   607.71,   224.46
  347.39,   607.43,   349.38
  341.83,   733.23,   100.10
  342.78,   732.89,   225.21
  344.13,   732.21,   349.97
   99.85,   474.87,   224.47
   99.55,   476.39,   349.50
   99.16,   478.15,   474.32
  100.92,   599.89,   222.70
  100.17,   601.41,   347.92
   99.98,   602.86,   472.48
  101.50,   725.03,   221.27
  100.90,   726.21,   346.33
  100.80,   728.13,   471.19
  224.97,   474.28,   224.92
  224.63,   475.56,   349.88
  224.01,   477.34,   474.68
  225.61,   599.31,   223.10
  225.31,   600.81,   348.45
  224.85,   602.35,   473.15
  226.47,   724.24,   221.52
  225.94,   725.56,   346.87
  225.52,   727.28,   471.44
  350.02,   473.38,   225.14
  349.72,   475.12,   350.20
  349.28,   476.60,   475.01
  350.71,   598.46,   223.54
  350.45,   600.13,   348.73
  349.87,   601.20,   473.63
  351.46,   723.52,   221.97
  351.30,   725.10,   346.89
  350.81,   726.36,   472.03
   98.99,   475.00,   351.25
  100.15,   473.69,   476.43
  100.89,   472.45,   601.11
  102.29,   599.78,   352.68
  103.42,   598.46,   477.58
  104.15,   597.35,   602.76
  105.61,   724.74,   354.17
  106.75,   723.67,   478.76
  107.39,   722.14,   603.87
  223.98,   471.79,   350.19
  224.90,   470.28,   475.17
  226.05,   468.95,   600.45
  227.38,   596.72,   351.78
  228.38,   595.22,   476.60
  229.10,   593.88,   601.79
  230.47,   721.49,   352.85
  231.62,   720.32,   477.74
  232.54,   719.13,   603.02
  349.00,   468.52,   349.43
  350.05,   467.21,   474.40
  350.89,   465.75,   599.46
  352.40,   593.39,   350.74
  353.20,   592.12,   475.64
  354.34,   590.68,   600.80
  355.57,   718.53,   351.93
  356.66,   717.07,   476.97
  357.56,   715.56,   601.69
  101.43,   474.03,   473.69
   99.99,   471.15,   598.76
   98.92,   468.71,   723.41
  103.62,   599.00,   476.58
  102.14,   596.07,   601.50
  100.93,   593.58,   726.40
  105.80,   724.18,   479.45
  104.54,   721.06,   604.33
  103.16,   718.52,   729.25
  226.35,   471.97,   474.98
  225.02,   469.14,   599.96
  223.75,   466.24,   724.97
  228.58,   596.68,   477.70
  227.33,   594.17,   602.80
  225.95,   591.19,   727.60
  230.67,   721.57,   480.60
  229.48,   718.91,   605.83
  228.17,   716.29,   730.68
  351.09,   469.57,   476.09
  350.09,   466.66,   601.10
  348.66,   464.06,   726.11
  353.59,   594.58,   479.16
  352.35,   591.63,   603.99
  350.85,   588.96,   729.03
  355.74,   719.22,   481.68
  354.64,   716.56,   606.75
  353.31,   713.99,   731.57
   98.93,   473.49,   598.75
  100.00,   472.17,   723.75
  100.75,   471.14,   848.94
   98.35,   598.46,   600.12
   99.47,   597.33,   725.01
  100.01,   596.31,   850.04
   97.68,   723.13,   601.01
   98.72,   722.28,   725.62
   99.65,   721.35,   850.73
  224.14,   473.82,   597.93
  225.10,   473.10,   722.91
  226.04,   472.09,   848.03
  223.31,   598.81,   598.87
  224.26,   598.06,   723.96
  225.08,   596.87,   849.00
  222.62,   723.93,   600.22
  223.82,   722.86,   725.06
  224.61,   722.01,   850.07
  349.04,   474.51,   596.99
  350.07,   473.60,   721.91
  350.72,   472.72,   846.95
  348.28,   599.79,   598.08
  349.15,   598.95,   723.11
  350.30,   597.64,   848.04
  347.87,   724.74,   599.13
  348.53,   723.50,   723.98
  349.42,   722.57,   848.82
  101.88,   598.36,   100.61
   98.22,   600.71,   225.44
   94.24,   603.12,   350.51
  103.45,   723.06,    98.34
   99.89,   725.73,   223.02
   96.01,   728.15,   348.10
  105.37,   848.10,    95.73
  101.74,   850.55,   220.63
   97.83,   852.93,   345.84
  226.79,   596.45,   104.33
  222.79,   599.05,   229.24
  219.12,   601.34,   354.11
  228.67,   721.25,   101.94
  224.79,   723.79,   226.97
  221.18,   726.52,   352.09
  230.29,   846.43,    99.42
  226.57,   848.78,   224.35
  222.92,   851.49,   349.52
