27, 125 pa2-debug-b-our-output2.txt
   99.22,   593.61,   730.49
  225.26,   351.09,   473.39
  224.98,   347.41,   598.80
  225.58,   344.83,   723.64
  223.79,   476.20,   477.32
  224.72,   472.93,   602.16
  224.78,   469.56,   727.25
  223.14,   601.13,   480.18
  224.03,   597.20,   605.26
  224.05,   594.10,   729.76
  350.36,   352.10,   473.65
  350.46,   348.02,   598.51
  350.74,   345.17,   722.85
  348.73,   476.52,   476.59
  349.54,   473.36,   601.32
  350.00,   470.14,   726.60
  348.33,   601.66,   479.70
  348.35,   598.18,   604.83
  349.44,   594.92,   729.92
  101.75,   350.39,   598.99
  100.47,   352.35,   724.26
   99.84,   354.07,   849.41
   98.62,   475.17,   596.98
   97.88,   476.68,   722.39
   96.91,   479.50,   846.83
   96.03,   600.27,   595.47
   94.84,   602.26,   719.96
   94.13,   604.18,   845.13
  226.41,   353.25,   600.59
  225.67,   354.60,   725.01
  224.70,   356.83,   850.25
  224.08,   477.35,   598.06
  223.03,   479.72,   723.50
  222.48,   481.85,   848.23
  220.90,   602.39,   595.62
  219.71,   605.19,   720.63
  218.93,   606.57,   846.17
  351.37,   356.14,   601.40
  350.35,   357.80,   726.44
  349.69,   359.83,   851.23
  348.32,   481.03,   599.35
  348.16,   482.87,   723.90
  346.74,   484.52,   849.21
  346.50,   605.46,   596.33
  344.66,   607.26,   721.45
  344.54,   609.39,   846.77
   99.28,   474.00,    99.68
   97.44,   470.47,   224.40
   95.11,   467.54,   349.65
   97.47,   599.16,   102.88
   96.10,   596.09,   227.65
   93.14,   592.35,   352.46
   95.56,   723.98,   105.81
   93.88,   720.83,   231.57
   91.48,   717.32,   356.43
  224.72,   475.85,   101.73
  222.37,   472.28,   226.51
  220.21,   469.13,   351.62
  222.82,   601.22,   105.15
  220.83,   597.74,   229.83
  218.80,   594.03,   354.88
  220.90,   726.02,   108.36
  218.54,   721.71,   233.17
  216.85,   718.62,   358.67
  349.47,   478.03,   103.57
  347.72,   474.04,   228.56
  345.64,   470.43,   354.21
  347.48,   602.82,   107.40
  345.53,   599.33,   232.17
  343.53,   595.49,   357.11
  345.97,   727.68,   110.79
  343.13,   723.62,   235.46
  341.45,   720.77,   360.33
   98.25,   476.88,   223.49
  100.36,   478.94,   348.07
  101.68,   480.81,   473.67
   98.76,   601.60,   220.37
  100.71,   604.52,   345.91
  102.25,   606.38,   471.02
   99.43,   726.66,   218.61
  101.67,   729.05,   343.54
  103.39,   731.07,   468.94
  223.87,   476.10,   221.60
  225.57,   478.87,   346.75
  227.10,   480.57,   471.05
  224.12,   601.49,   219.10
  225.94,   603.46,   344.36
  227.38,   605.87,   468.79
  224.46,   726.60,   217.02
  225.89,   728.46,   342.18
  228.36,   730.41,   466.54
  348.51,   476.18,   219.09
  349.94,   478.68,   344.60
  352.00,   480.58,   469.47
  349.49,   600.44,   217.02
  350.89,   603.07,   342.40
  352.47,   604.91,   467.58
  349.46,   726.00,   214.98
  351.00,   728.44,   340.24
  352.98,   730.14,   465.37
  100.15,   475.12,   349.59
  100.43,   471.79,   474.54
  100.71,   468.49,   599.12
   97.18,   600.87,   353.30
   97.23,   597.08,   477.88
   98.20,   593.51,   602.94
   94.09,   725.60,   356.38
   94.23,   721.95,   481.90
   95.32,   717.99,   606.51
  225.15,   478.79,   349.54
  225.29,   474.96,   474.41
  226.32,   471.20,   598.63
  221.70,   603.33,   353.03
  222.33,   599.53,   477.78
  222.91,   596.24,   602.02
  218.82,   728.59,   356.60
  219.27,   725.13,   481.27
  220.18,   721.32,   606.59
  349.92,   481.43,   349.04
  350.62,   478.20,   473.39
  350.73,   474.64,   598.30
  346.58,   606.22,   352.75
  347.76,   603.08,   477.70
  347.74,   599.61,   602.28
  344.01,   731.26,   356.07
  344.50,   727.91,   480.96
  344.85,   723.83,   605.69
  100.19,   476.16,   474.66
   96.02,   475.36,   599.94
   93.20,   474.09,   724.77
  103.48,   601.22,   475.57
   99.94,   600.07,   600.64
   96.69,   598.46,   725.54
  106.84,   726.15,   476.90
  103.38,   724.60,   602.33
   99.97,   723.65,   727.09
  225.02,   472.66,   477.87
  221.52,   471.90,   602.74
  218.27,   470.18,   727.45
  228.52,   597.70,   479.62
  224.78,   596.84,   603.95
  221.76,   595.03,   729.56
  232.14,   722.45,   480.11
  228.16,   721.29,   605.48
  224.70,   719.82,   730.41
  349.79,   469.10,   481.76
  346.26,   468.04,   605.76
  342.70,   466.47,   731.27
  352.79,   594.24,   482.87
  349.93,   593.06,   607.42
  345.91,   591.56,   732.42
  356.38,   718.86,   484.45
  353.60,   717.49,   608.56
  349.63,   716.81,   734.32
  100.02,   475.19,   599.36
  100.43,   478.88,   724.71
  100.59,   482.65,   849.76
   97.70,   600.23,   596.51
   97.72,   604.44,   720.95
   97.65,   607.31,   845.57
   94.67,   725.58,   592.21
   94.77,   728.78,   717.25
   95.23,   732.23,   842.58
  224.85,   478.34,   598.74
  224.86,   481.39,   724.36
  225.17,   485.20,   848.39
  221.74,   603.52,   596.07
  222.38,   606.84,   720.95
  222.34,   610.35,   845.54
  219.90,   728.07,   591.95
  220.27,   731.86,   717.46
  220.62,   734.76,   841.71
  349.88,   480.95,   598.71
  349.73,   484.19,   723.41
  349.82,   487.76,   848.42
  347.56,   605.38,   594.81
  347.58,   609.21,   720.43
  347.65,   612.29,   845.26
  344.65,   731.13,   591.64
  345.09,   733.80,   716.83
  345.27,   737.39,   841.33
   99.09,   599.78,    99.45
   96.81,   601.97,   223.97
   95.07,   603.60,   349.11
