27, 125 pa2-debug-c-our-output2.txt
  357.70,   473.41,   478.83
  359.18,   470.76,   603.78
  360.61,   468.08,   728.76
  476.57,   220.55,   472.13
  478.04,   217.86,   597.02
  479.50,   215.22,   722.02
  479.60,   345.47,   474.72
  481.09,   342.81,   599.65
  482.56,   340.18,   724.61
  482.65,   470.39,   477.31
  484.13,   467.73,   602.28
  485.62,   465.09,   727.23
  223.40,   226.15,   601.59
  220.70,   227.35,   726.55
  217.96,   228.54,   851.51
  220.44,   351.10,   600.35
  217.78,   352.31,   725.31
  215.00,   353.51,   850.27
  217.48,   476.05,   599.07
  214.82,   477.26,   724.00
