27, 125 pa2-unknown-j-our-output2.txt
  351.67,   347.87,   597.86
  352.28,   345.18,   722.89
  353.14,   342.39,   847.94
  353.24,   472.90,   600.76
  354.20,   470.11,   725.82
  354.72,   467.01,   850.78
  355.12,   597.77,   603.41
  356.10,   595.06,   728.54
  356.95,   592.24,   853.56
  100.63,   474.21,    99.82
  103.32,   472.74,   224.88
  106.34,   471.54,   349.80
  100.06,   599.28,   101.36
  102.55,   597.82,   226.43
  105.55,   596.28,   351.12
   99.17,   724.35,   102.89
  101.76,   723.00,   227.87
  104.48,   721.24,   352.63
  225.72,   474.93,    97.07
  228.60,   473.59,   222.18
  231.05,   472.27,   347.09
  224.83,   599.91,    98.51
  227.55,   598.63,   223.60
  230.18,   597.08,   348.47
  224.16,   725.12,   100.05
  226.88,   723.44,   224.97
  229.53,   722.14,   350.16
  350.49,   476.12,    94.60
  353.47,   474.49,   219.45
  356.26,   473.07,   344.45
  349.91,   601.11,    95.94
  352.41,   599.32,   220.81
  355.47,   598.00,   345.64
  349.23,   725.85,    97.22
  351.96,   724.40,   222.33
  354.69,   723.09,   347.31
  101.59,   475.37,   225.78
  101.57,   478.22,   350.66
  101.59,   481.21,   475.74
  101.68,   600.35,   222.90
  101.67,   603.19,   347.71
  101.58,   606.41,   473.00
  102.02,   725.28,   219.99
  102.02,   728.19,   344.74
  102.06,   731.29,   469.85
  226.61,   475.20,   226.06
  226.60,   477.96,   350.79
  226.56,   481.27,   475.89
  226.78,   600.23,   223.09
  226.87,   603.16,   347.72
  226.64,   606.01,   472.78
  227.06,   725.03,   219.82
  226.82,   728.12,   344.84
  226.83,   731.17,   469.85
  351.31,   474.80,   225.80
  351.38,   477.81,   351.05
  351.57,   480.87,   476.04
  351.65,   599.96,   222.82
  351.92,   602.63,   348.02
  351.73,   605.64,   472.66
  351.97,   724.59,   219.81
  351.91,   727.92,   344.80
  351.76,   730.89,   469.95
   99.52,   474.41,   351.22
   98.19,   471.53,   476.22
   96.86,   468.77,   600.85
   99.29,   599.39,   354.02
   97.89,   596.54,   478.75
   96.43,   593.72,   603.93
   99.03,   724.11,   356.59
   97.55,   721.42,   481.67
   95.98,   718.40,   606.53
  224.78,   474.82,   352.63
  223.42,   471.89,   477.56
  221.98,   468.83,   602.30
  224.20,   599.53,   355.26
  223.04,   596.83,   480.06
  221.51,   594.06,   605.29
  224.03,   724.55,   357.91
  222.38,   721.90,   483.01
  221.34,   719.09,   608.00
  349.57,   475.00,   353.91
  348.17,   472.34,   478.60
  346.89,   469.24,   603.64
  349.18,   599.91,   356.57
  347.86,   597.32,   481.77
  346.61,   594.43,   606.66
  349.02,   724.99,   359.60
  347.33,   722.16,   484.61
  346.35,   719.34,   609.39
   99.25,   475.30,   476.71
  101.63,   478.48,   601.49
  103.55,   481.90,   726.58
   96.40,   600.15,   473.52
   98.51,   603.44,   598.36
  100.98,   606.61,   723.03
   93.72,   725.07,   470.11
   95.72,   728.47,   595.03
   98.01,   731.75,   720.01
  224.12,   478.00,   474.26
  226.35,   481.54,   599.10
  228.64,   484.61,   724.37
  221.33,   602.88,   470.98
  223.62,   606.32,   596.12
  225.77,   609.68,   720.99
  218.51,   728.16,   467.99
  220.70,   731.43,   592.62
  222.96,   734.60,   717.66
  349.08,   481.07,   471.91
  351.42,   484.32,   597.18
  353.57,   487.29,   722.07
  346.41,   605.63,   468.98
  348.55,   608.99,   593.89
  350.70,   612.45,   718.58
  343.36,   730.85,   465.70
  345.63,   734.21,   590.60
  348.01,   737.46,   715.35
   99.29,   474.53,   599.58
   98.79,   471.62,   724.68
   98.33,   469.20,   849.56
   97.81,   599.20,   602.49
   97.23,   596.71,   727.54
   96.82,   594.13,   852.39
