27, 125 pa2-debug-e-our-output2.txt
  225.92,   473.91,   601.45
  224.74,   599.08,   351.55
  225.25,   598.98,   476.51
  225.42,   598.87,   601.53
  350.76,   349.55,   350.97
  351.12,   349.49,   475.97
  351.41,   349.33,   600.97
  350.27,   474.54,   351.09
  350.66,   474.44,   476.09
  350.91,   474.36,   601.11
  349.79,   599.60,   351.15
  350.17,   599.48,   476.16
  350.46,   599.33,   601.20
   99.76,   351.24,   475.07
  100.35,   348.18,   600.03
  100.24,   344.88,   724.96
  102.94,   476.22,   478.35
  103.47,   473.06,   603.21
  103.30,   469.65,   728.33
  106.23,   601.12,   481.58
  106.42,   597.99,   606.51
  106.58,   594.66,   731.47
  225.11,   348.26,   474.74
  225.06,   344.96,   599.78
  225.36,   341.80,   724.67
  228.14,   473.12,   478.03
  228.22,   469.95,   603.03
  228.63,   466.61,   727.93
  231.31,   598.09,   481.27
  231.31,   594.82,   606.26
  231.61,   591.61,   731.18
  349.95,   345.17,   474.52
  350.09,   341.85,   599.48
  350.29,   338.66,   724.44
  353.08,   470.04,   477.78
  353.18,   466.80,   602.76
  353.39,   463.48,   727.71
  356.19,   594.98,   481.00
  356.32,   591.70,   605.99
  356.54,   588.51,   730.95
  101.51,   348.99,   599.71
   97.65,   349.01,   724.63
   94.51,   349.16,   849.53
  103.05,   473.94,   599.61
   99.23,   473.87,   724.68
   95.75,   474.11,   849.53
  104.44,   598.93,   599.64
  100.84,   599.00,   724.57
   97.27,   599.06,   849.51
  226.20,   347.35,   603.35
  222.73,   347.51,   728.24
  218.93,   347.59,   853.22
  227.80,   472.40,   603.31
  224.39,   472.39,   728.21
  220.52,   472.40,   853.29
  229.32,   597.35,   603.26
  225.79,   597.46,   728.17
  222.10,   597.57,   853.12
  351.21,   345.81,   606.93
  347.64,   345.93,   731.89
  344.05,   346.06,   856.81
  352.73,   470.82,   606.94
  349.16,   470.84,   731.87
  345.59,   470.95,   856.72
  354.30,   595.80,   606.89
  350.73,   595.94,   731.84
  347.13,   596.09,   856.74
   99.55,   473.17,    99.54
   99.00,   474.21,   224.51
   99.04,   475.45,   349.43
  102.81,   598.10,    98.32
  102.61,   599.21,   223.38
  102.25,   600.34,   348.32
  106.34,   723.07,    97.30
  105.97,   724.12,   222.22
  105.70,   725.32,   347.35
  224.66,   469.70,   100.03
  224.17,   470.83,   224.80
  223.70,   471.95,   349.81
  227.71,   594.80,    98.55
  227.60,   595.80,   223.70
  227.18,   596.92,   348.71
  231.35,   719.59,    97.73
  230.99,   720.79,   222.55
  230.60,   721.83,   347.67
  349.30,   466.22,   100.15
  349.13,   467.51,   225.07
  348.76,   468.54,   350.13
  352.69,   591.31,    98.99
  352.49,   592.42,   223.99
  352.20,   593.55,   349.00
  356.25,   716.19,    97.99
  355.88,   717.37,   222.93
  355.57,   718.41,   347.91
  101.25,   473.34,   225.99
   98.86,   472.75,   350.86
   95.83,   471.95,   475.91
  100.17,   598.39,   226.61
   97.41,   597.69,   351.53
   94.68,   596.88,   476.56
   98.83,   723.36,   227.30
   96.16,   722.70,   352.30
   93.50,   721.91,   477.20
  226.42,   474.64,   228.65
  223.55,   473.93,   353.64
  221.00,   473.17,   478.56
  225.16,   599.64,   229.36
  222.33,   598.94,   354.32
  219.78,   598.21,   479.25
  223.86,   724.66,   230.00
  221.07,   723.91,   355.07
  218.45,   723.22,   479.86
  351.39,   475.98,   231.32
  348.62,   475.20,   356.35
  345.95,   474.48,   481.31
  350.06,   600.93,   232.03
  347.36,   600.25,   357.00
  344.66,   599.50,   481.98
  348.76,   725.91,   232.75
  346.03,   725.15,   357.71
  343.38,   724.51,   482.73
   99.40,   474.44,   348.04
   95.78,   475.89,   473.06
   92.74,   477.43,   597.90
   96.57,   599.35,   346.42
   93.25,   600.78,   471.42
   89.97,   602.40,   596.39
   93.96,   724.34,   344.90
   90.73,   725.80,   469.79
   87.39,   727.44,   594.86
  224.06,   477.06,   351.38
  220.90,   478.52,   476.28
  217.50,   480.15,   601.25
  221.47,   602.03,   349.78
  218.31,   603.56,   474.68
  214.81,   605.05,   599.65
  218.83,   726.96,   348.26
  215.59,   728.52,   473.00
  212.20,   729.96,   598.08
  349.09,   479.75,   354.64
  345.82,   481.27,   479.58
  342.40,   482.80,   604.55
  346.45,   604.76,   353.00
  343.16,   606.26,   477.97
  339.79,   607.73,   602.96
  343.75,   729.63,   351.44
  340.50,   731.23,   476.44
  337.14,   732.75,   601.41
  100.41,   473.42,   474.00
  100.44,   476.50,   598.86
   99.96,   479.37,   723.94
  101.30,   598.35,   470.96
  101.03,   601.46,   595.91
  100.77,   604.47,   720.85
  102.04,   723.35,   467.90
  101.75,   726.37,   592.90
  101.54,   729.34,   717.86
  225.63,   472.67,   474.24
  225.26,   475.77,   599.23
  225.17,   478.71,   724.15
  226.42,   597.69,   471.22
  225.98,   600.67,   596.21
  225.76,   603.74,   721.13
  227.13,   722.67,   468.13
  226.75,   725.62,   593.24
  226.66,   728.62,   718.07
  350.61,   471.98,   474.55
  350.25,   475.00,   599.53
  350.00,   477.96,   724.49
  351.35,   596.97,   471.51
  351.02,   599.93,   596.51
  350.76,   603.02,   721.47
  352.06,   721.95,   468.56
  351.77,   724.93,   593.53
  351.34,   727.97,   718.55
   98.35,   476.57,   598.14
   98.47,   478.36,   723.23
   98.57,   480.34,   848.20
   95.23,   601.53,   596.29
   95.55,   603.49,   721.24
   95.90,   605.36,   846.23
   92.29,   726.50,   594.40
   92.44,   728.35,   719.41
   92.74,   730.29,   844.34
  223.14,   479.57,   597.86
  223.61,   481.41,   722.81
  223.78,   483.25,   847.90
  220.13,   604.45,   595.93
  220.49,   606.42,   720.87
  220.78,   608.35,   845.87
  217.18,   729.36,   594.03
  217.73,   731.28,   718.87
  218.00,   733.19,   843.98
  348.08,   482.49,   597.52
  348.42,   484.37,   722.51
  348.78,   486.32,   847.40
  345.14,   607.42,   595.60
  345.44,   609.42,   720.59
  345.78,   611.40,   845.55
  342.16,   732.43,   593.72
  342.27,   734.37,   718.78
  342.52,   736.21,   843.74
   99.51,   600.05,   100.28
   98.77,   599.05,   225.35
   97.86,   598.06,   350.30
   98.70,   725.05,   101.44
   97.77,   724.01,   226.36
   96.99,   723.08,   351.38
   97.73,   850.00,   102.32
   96.88,   849.09,   227.39
   96.10,   847.94,   352.30
  224.43,   601.06,   101.04
  223.78,   599.93,   226.23
  222.83,   598.95,   351.23
  223.70,   725.91,   102.28
  222.84,   724.96,   227.16
  221.92,   723.91,   352.28
  222.75,   850.96,   103.18
  221.91,   849.92,   228.16
  221.05,   848.96,   353.31
  349.46,   601.90,   102.02
  348.71,   600.86,   227.03
  347.87,   599.90,   352.02
  348.66,   726.86,   103.10
  347.77,   725.86,   228.05
  346.92,   724.80,   353.04
  347.61,   851.79,   104.09
  346.91,   850.85,   229.00
  345.97,   849.83,   354.07
   99.14,   601.00,   226.04
  101.64,   602.34,   350.97
  104.24,   603.58,   475.99
  100.70,   725.93,   224.66
  103.33,   727.35,   349.71
  105.83,   728.61,   474.57
  102.35,   850.97,   223.28
  105.03,   852.24,   348.24
  107.43,   853.65,   473.30
  224.14,   599.31,   223.48
  226.59,   600.66,   348.47
  229.33,   602.00,   473.39
  225.73,   724.34,   222.05
  228.24,   725.60,   347.16
  230.93,   726.99,   471.95
  227.38,   849.26,   220.68
  229.90,   850.64,   345.85
  232.58,   851.96,   470.49
  349.03,   597.67,   220.88
  351.60,   599.03,   345.85
  354.21,   600.34,   470.83
  350.63,   722.68,   219.55
  353.21,   723.92,   344.51
  355.82,   725.34,   469.54
  352.33,   847.61,   218.17
  354.83,   848.97,   343.16
  357.43,   850.18,   468.13
  100.34,   598.23,   348.75
   99.73,   601.63,   473.75
   99.13,   605.25,   598.70
  101.33,   723.20,   345.36
  100.69,   726.63,   470.22
  100.06,   730.14,   595.21
  102.34,   848.06,   341.79
  101.57,   851.63,   466.77
  101.09,   855.04,   591.72
  225.31,   597.28,   349.45
  224.86,   600.78,   474.36
  224.07,   604.26,   599.35
  226.27,   722.20,   346.02
